uniprot_id,peptide_missing_rate,nflank_missing_rate,cflank_missing_rate,n_peptides
A0A140T951,1.0,1.0,1.0,1
A0A140T9B3,0.0,0.0,0.0,1
A0A140T9G0,1.0,1.0,1.0,2
A0A140T9I0,1.0,1.0,1.0,2
A0A140T9M0,0.0,0.0,0.0,3
A0A140TA02,0.0,0.0,0.0,1
A0A140TA18,0.0,0.0,0.0,2
A0A175Y5H9,0.0,0.0,0.0,4
A0A1B0GUD6,0.0,0.0,0.0,3
A0A1B0GUI1,1.0,1.0,1.0,17
A0A1B0GUS4,0.0,0.0,0.0,2
A0A1B0GVH5,0.0,0.0,0.0,5
A0A1B0GVP4,1.0,1.0,1.0,7
A0A1B0GVS8,0.7,0.7,0.7,10
A0A1B0GWC6,1.0,1.0,1.0,1
A0A1B0GWI6,0.0,0.0,0.5,2
A0A1B0GX49,0.0,0.0,0.0,1
A0A1W2PQS8,0.0,0.0,0.0,1
A0A1W2PRQ6,0.0,0.0,0.0,4
A0A1X9RU27,0.0,0.0,0.0,3
A0A2A3YGA7,0.0,0.0,0.0,2
A0A2A3YGK1,0.0,0.0,0.0,3
A0A2A3YJ57,0.0,0.0,0.0,1
A0A2A3YM07,0.0,0.0,0.0,4
A0A2A3YP00,0.0,0.0,0.0,3
A0A2R8Y445,1.0,1.0,1.0,6
A0A2R8Y4L2,0.0,0.0,0.0,2
A0A2R8Y619,0.0,0.0,0.0,3
A0A2R8Y7B3,0.0,0.0,0.0,4
A0A2R8Y7T9,0.0,0.0,0.0,1
A0A2R8Y8D9,0.0,0.0,0.0,5
A0A2X0VFN3,1.0,1.0,1.0,13
A0A2X0VRU2,0.0,0.0,0.0,7
A0A2Z4LIS9,0.0,0.0,0.0,1
A0A3B3IRR3,0.0,0.0,0.0,8
A0A3B3IRV3,0.0,0.0,0.0,3
A0A3B3IS79,1.0,1.0,1.0,5
A0A3B3ISF6,0.0,0.0,0.0,6
A0A3B3ISJ8,0.0,0.0,0.0,13
A0A494C0S0,0.0,0.0,0.0,11
A0A494C1N0,0.0,0.0,0.0,2
A0A499FJF3,0.0,0.0,0.0,3
A0A590UJ20,0.0,0.0,0.0,1
A0A5F9ZHN9,0.0,0.0,0.0,5
A0A6Q8PF18,0.0,0.0,0.0,7
A0A6Q8PFC9,0.0,0.0,0.0,1
A0A6Q8PHC9,1.0,1.0,1.0,7
A0A7I2RVZ4,0.0,0.0,0.0,6
A0A7I2V3W8,0.0,0.0,0.0,7
A0A7I2V4U8,0.0,0.0,0.0,1
A0A804HJV0,0.0,0.0,0.0,5
A0A804HJX8,1.0,1.0,1.0,38
A0A804HLA8,0.0,0.0,0.0,1
A0A804HLD3,1.0,1.0,1.0,27
A0A8C8P5L8,1.0,1.0,1.0,12
A0A8I5KZ38,1.0,1.0,1.0,13
A0A8I5QL06,1.0,1.0,1.0,7
A0A8J8YUZ5,0.0,0.0,0.0,7
A0A8Q3SIK5,0.0,0.0,0.0,5
A0A8V8TLA2,0.0,0.0,0.0,10
A0A9L9PXT0,0.0,0.0,0.0,5
A0AAG2TVC3,0.0,0.0,0.0,2
A0AAQ5BI93,0.0,0.0,0.0,2
A0ABB0MUZ6,0.0,0.0,0.0,3
A0ABM6TP76,1.0,1.0,1.0,5
A0ABM6TP97,1.0,1.0,1.0,3
A0ABM6TRQ2,1.0,1.0,1.0,6
A0ABN0PSG5,1.0,1.0,1.0,8
A0ABN5IZY2,1.0,1.0,1.0,3
A0ABN5J0M8,1.0,1.0,1.0,14
A0ABN5J312,1.0,1.0,1.0,6
A0ABN5J5C8,1.0,1.0,1.0,9
A0ABN5J5X9,1.0,1.0,1.0,3
A0ABX8KJ08,1.0,1.0,1.0,2
A0ABY7UUA0,1.0,1.0,1.0,1
A0AUZ9,0.0,0.0,0.0,4
A0AV02,0.0,0.0,0.0,5
A0AV96,0.0,0.0,0.0,5
A0AVF1,0.0,0.0,0.0,4
A0AVI4,0.0,0.0,0.0,3
A0AVK6,0.0,0.0,0.0,7
A0AVT1,0.0,0.0,0.0,9
A0FGR8,0.0,0.0,0.0,8
A0JLT2,0.0,0.0,0.0,2
A0JNW5,0.0,0.0,0.0,13
A0MZ66,0.0,0.0,0.0,4
A0PG75,0.0,0.0,0.0,4
A0PJE2,0.0,0.0,0.0,2
A0PJK1,0.0,0.0,0.0,6
A0PJW6,0.0,0.0,0.0,3
A0PJX8,0.0,0.0,0.0,5
A1A4S6,0.0,0.0,0.0,4
A1A4V9,0.0,0.0,0.0,1
A1A5B4,0.0,0.0,0.0,7
A1A5C7,0.0,0.0,0.0,4
A1KXE4,0.0,0.0,0.0,1
A1L0T0,0.0,0.0,0.0,7
A1L157,0.0,0.0,0.0,3
A1L167,0.0,0.0,0.0,2
A1L390,0.0,0.0,0.0,5
A1L3X0,0.0,0.0,0.0,4
A1X283,0.0,0.0,0.0,4
A1XBS5,0.0,0.0,0.0,1
A2A2Z9,0.0,0.0,0.125,8
A2A3K4,0.0,0.0,0.0,5
A2A3N6,0.0,0.0,0.0,12
A2RRH5,0.0,0.0,0.0,8
A2RRP1,0.0,0.0,0.0,18
A2RTX5,0.0,0.0,0.0,3
A2RU49,0.0,0.0,0.0,3
A2RUB1,0.0,0.0,0.0,3
A2RUB6,0.0,0.0,0.0,5
A2RUR9,0.0,0.0,0.0,12
A2RUS2,0.0,0.0,0.0,7
A2VDF0,0.0,0.0,0.3333333333333333,3
A2VDJ0,0.0,0.0,0.0,10
A3KMH1,0.0,0.0,0.0,22
A3KN83,0.0,0.0,0.0,11
A4D0T7,0.0,0.0,0.0,2
A4D0V7,0.0,0.0,0.0,6
A4D1B5,0.0,0.0,0.0,6
A4D1P6,0.0,0.0,0.0,4
A4D1U4,0.0,0.0,0.0,5
A4D2P6,0.0,0.0,0.0,12
A4QPB2,0.0,0.0,0.0,1
A4UGR9,1.0,1.0,1.0,8
A5A3E0,0.0,0.0,0.0,8
A5D8W1,0.0,0.0,0.0,6
A5PL33,0.0,0.0,0.0,5
A5PLK6,0.0,0.0,0.0,3
A5PLN9,0.0,0.0,0.0,1
A5YKK6,0.0,0.0,0.0,32
A5YM72,0.0,0.0,0.0,7
A6NC57,0.0,0.0,0.0,3
A6NC97,0.0,0.0,0.0,4
A6NC98,0.0,0.0,0.0,15
A6NCE7,0.0,0.0,0.0,2
A6NCF5,0.0,0.0,0.0,5
A6NCK2,0.0,0.0,0.0,1
A6NCL7,0.0,0.0,0.0,2
A6ND36,0.0,0.0,0.0,6
A6NDG6,0.0,0.0,0.0,7
A6NDU8,0.0,0.0,0.0,5
A6NDV4,0.0,0.0,0.0,4
A6NEQ2,0.0,0.0,0.0,4
A6NES4,0.0,0.0,0.0,19
A6NF34,0.0,0.0,0.0,1
A6NFI3,0.0,0.0,0.0,3
A6NFQ2,0.0,0.0,0.0,8
A6NFX1,0.0,0.0,0.0,1
A6NFY4,0.0,0.0,0.0,4
A6NGB9,0.0,0.0,0.0,2
A6NGR9,0.0,0.0,0.0,6
A6NGW2,0.0,0.0,0.0,18
A6NHG4,0.0,0.0,0.0,1
A6NHR9,0.0,0.0,0.0,21
A6NHT5,0.0,0.0,0.0,1
A6NHX0,0.0,0.0,0.0,1
A6NHY2,0.0,0.0,0.0,4
A6NI28,0.0,0.0,0.0,4
A6NIE6,0.0,0.0,0.0,3
A6NIH7,0.0,0.0,0.0,1
A6NJ78,0.0,0.0,0.0,2
A6NJU9,0.0,0.0,0.0,12
A6NJZ3,0.0,0.0,0.0,1
A6NJZ7,0.0,0.0,0.0,13
A6NKD9,0.0,0.0,0.0,5
A6NKF1,0.0,0.0,0.0,3
A6NKT7,0.0,0.0,0.0,14
A6NMB9,0.0,0.0,0.0,3
A6NMY6,0.0,0.0,0.0,1
A6NN90,0.0,0.0,0.0,5
A6NND4,0.0,0.0,0.0,6
A6NNE9,0.0,0.0,0.0,1
A6NNP5,0.0,0.0,0.0,3
A6NNY8,0.0,0.0,0.0,3
A6QL63,0.0,0.0,0.0,7
A6XGL2,0.0,0.0,0.0,3
A6ZKI3,0.0,0.0,0.0,3
A7E2Y1,0.0,0.0,0.0,11
A7MCY6,0.0,0.0,0.0,2
A7XYQ1,0.0,0.0,0.0,3
A8CG34,0.0,0.0,0.0,5
A8K0Z3,0.0,0.0,0.0,9
A8K554,0.0,0.0,0.0,2
A8K8P3,0.0,0.0,0.0,8
A8K979,0.0,0.0,0.0,5
A8MPP1,0.0,0.0,0.0,9
A8MPS7,0.0,0.0,0.0,3
A8MQ27,0.0,0.0,0.0,2
A8MT70,0.0,0.0,0.0,2
A8MTJ3,0.0,0.0,0.0,3
A8MTT3,0.0,0.0,0.0,1
A8MV65,0.0,0.0,0.0,2
A8MVW0,0.0,0.0,0.0,5
A8MVX0,0.0,0.0,0.0,5
A8MW92,0.0,0.0,0.0,5
A8MWD9,0.0,0.0,1.0,1
A8MWX3,0.0,0.0,0.0,4
A8MWY0,0.0,0.0,0.0,3
A8MXV4,0.0,0.0,0.0,1
A8MYZ6,0.0,0.0,0.0,3
A8MZ36,0.0,0.0,0.0,2
A9UHW6,0.0,0.0,0.0,2
A9YTQ3,0.0,0.0,0.0,3
B0I1T2,0.0,0.0,0.0,11
B0YJ81,0.0,0.0,0.0,6
B1AJZ9,0.0,0.0,0.0,9
B1AK53,0.0,0.0,0.0,3
B1ANS9,0.0,0.0,0.0,3
B2RBV5,0.0,0.0,0.0,2
B2RNG4,0.0,0.0,0.0,6
B2RTY4,0.0,0.0,0.0,19
B2RXH8,0.0,0.0,0.0,5
B3EWG3,0.0,0.0,0.0,1
B3KW44,0.0,0.0,0.0,4
B4DEV8,0.0,0.0,0.0,1
B5MCY1,0.0,0.0,0.0,14
B5ME19,0.0,0.0,0.0,13
B6KJP5,1.0,1.0,1.0,11
B6KR25,0.0,0.0,0.0,10
B7Z2R2,0.0,0.0,0.0,1
B7ZAP0,0.0,0.0,0.0,3
B7ZAQ6,0.0,0.0,0.0,4
B7ZW38,0.0,0.0,0.0,4
B8ZZS2,0.0,0.0,0.0,4
B9PH46,0.0,0.0,0.0,1
B9PIS8,0.0,0.0,0.0,2
B9PK74,0.0,0.0,0.0,7
B9PNE7,0.0,0.0,0.0,4
B9PT01,0.0,0.0,0.0,1
B9PTM6,0.0,0.0,0.0,2
B9PUW8,0.0,0.0,0.0,3
B9Q1S5,0.0,0.0,0.0,5
B9Q2S1,0.0,0.0,0.0,5
B9QCZ2,0.0,0.0,0.0,14
B9QDT9,0.0,0.0,0.0,4
B9QFB9,1.0,1.0,1.0,11
B9QI15,0.0,0.0,0.0,2
B9QK09,0.0,0.0,0.0,10
B9QK32,1.0,1.0,1.0,8
B9QN40,1.0,1.0,1.0,11
C4AMC7,0.0,0.0,0.0,7
C4P0D6,0.0,0.0,0.0,4
C9J798,0.0,0.0,0.0,7
C9J7D4,0.0,0.0,1.0,1
C9JBF9,0.0,0.0,0.0,3
C9JI98,0.0,0.0,0.0,2
C9JJ37,0.0,0.0,0.0,2
C9JMY0,0.0,0.0,0.0,2
C9JRZ8,0.0,0.0,0.0,2
D6RB46,0.0,0.0,0.0,1
D6RBD7,0.0,0.0,0.0,3
D6REC4,0.0,0.0,0.0,2
D9J307,0.0,0.0,0.0,1
E0CX11,0.0,0.0,0.0,1
E5KLJ9,0.0,0.0,0.0,10
E5RFT4,0.0,0.0,0.0,1
E5RIU9,0.0,0.0,0.0,2
E7EMB1,0.0,0.0,0.0,4
E7ENF1,0.0,0.0,0.0,1
E7EW31,0.0,0.0,0.0,4
E9PAM5,0.0,0.0,0.0,1
E9PAV3,0.0,0.0,0.0,6
E9PLG4,0.0,0.0,0.0,1
E9PNK1,0.0,0.0,0.0,3
E9PQ53,0.0,0.0,0.0,2
F5H277,0.0,0.0,0.0,2
F5H5D3,0.0,0.0,0.0,3
F5H8R0,1.0,1.0,1.0,1
F5H8S6,1.0,1.0,1.0,6
F5HB40,1.0,1.0,1.0,2
F5HB41,1.0,1.0,1.0,1
F5HB52,1.0,1.0,1.0,2
F5HB53,1.0,1.0,1.0,6
F5HC16,1.0,1.0,1.0,2
F5HC33,1.0,1.0,1.0,3
F5HC79,1.0,1.0,1.0,7
F5HC97,1.0,1.0,1.0,2
F5HCM1,1.0,1.0,1.0,3
F5HCP3,1.0,1.0,1.0,2
F5HCU8,1.0,1.0,1.0,9
F5HDK1,1.0,1.0,1.0,3
F5HDQ6,1.0,1.0,1.0,8
F5HE69,1.0,1.0,1.0,5
F5HEA3,1.0,1.0,1.0,4
F5HEN8,1.0,1.0,1.0,7
F5HF35,1.0,1.0,1.0,1
F5HFH0,1.0,1.0,1.0,4
F5HFZ4,1.0,1.0,1.0,1
F5HG51,1.0,1.0,1.0,7
F5HG95,1.0,1.0,1.0,1
F5HGP1,1.0,1.0,1.0,2
F5HGT1,1.0,1.0,1.0,4
F5HH39,1.0,1.0,1.0,2
F6S8N6,0.0,0.0,0.0,3
F6TDL0,0.0,0.0,0.0,1
F7V998,1.0,1.0,1.0,2
F8VV91,0.0,0.0,1.0,1
F8WCM5,0.0,0.0,0.0,1
F8WF08,0.0,0.0,0.0,2
F9UTQ0,1.0,1.0,1.0,15
G3V441,0.0,0.0,1.0,1
G5E977,0.0,0.0,0.0,1
G9CGD6,0.0,0.0,0.0,3
H0Y354,0.0,0.0,0.0,2
H0Y4V9,1.0,1.0,1.0,1
H0Y5F5,1.0,1.0,1.0,5
H0Y9Y9,1.0,1.0,1.0,1
H0YAG0,1.0,1.0,1.0,1
H0YAW1,1.0,1.0,1.0,1
H0YC56,1.0,1.0,1.0,1
H0YCP9,1.0,1.0,1.0,1
H0YEK1,1.0,1.0,1.0,1
H0YH69,0.0,0.0,0.0,4
H0YI94,1.0,1.0,1.0,3
H0YIK4,1.0,1.0,1.0,2
H0YNE4,1.0,1.0,1.0,1
H3BP35,0.0,0.0,0.0,1
H3BQJ1,1.0,1.0,1.0,2
H3BQU2,0.0,0.0,0.0,2
H3BR37,1.0,1.0,1.0,1
H3BRU6,1.0,1.0,1.0,2
H3BV60,0.0,0.0,0.0,2
H3BVE0,0.0,0.0,0.0,1
H7BZ55,0.0,0.0,0.0,17
H7C0E7,1.0,1.0,1.0,1
H7C0U7,1.0,1.0,1.0,132
H7C0V5,0.0,0.0,0.0,2
H7C2C6,0.0,0.0,0.0,7
H7C3M7,0.0,0.0,0.0,2
H7C4G9,0.0,0.0,0.0,5
H7C525,1.0,1.0,1.0,3
I6L899,0.0,0.0,0.0,3
K7EIQ3,0.0,0.0,0.0,1
K7EM85,0.0,0.0,0.0,6
K7EMN7,0.0,0.0,0.0,1
K7ERW2,1.0,1.0,1.0,3
L0R6Q1,0.0,0.0,0.0,2
M0QZ01,0.0,0.0,0.0,1
M0QZD8,1.0,1.0,1.0,17
M0R1K2,0.0,0.0,0.0,1
M0R210,0.0,0.0,0.0,3
O00116,0.0,0.0,0.0,4
O00124,0.0,0.0,0.0,3
O00139,0.0,0.0,0.0,6
O00141,0.0,0.0,0.0,4
O00148,0.0,0.0,0.0,4
O00154,0.0,0.0,0.0,6
O00155,0.0,0.0,0.0,4
O00159,0.0,0.0,0.0,13
O00160,0.0,0.0,0.0,14
O00167,0.0,0.0,0.0,2
O00170,0.0,0.0,0.0,3
O00178,0.0,0.0,0.0,2
O00180,0.0,0.0,0.0,3
O00182,0.0,0.0,0.0,5
O00186,0.0,0.0,0.0,9
O00192,0.0,0.0,0.0,8
O00203,0.0,0.0,0.0,11
O00206,0.0,0.0,0.0,3
O00212,0.0,0.0,0.0,1
O00213,0.0,0.0,0.0,5
O00214,0.0,0.0,0.0,2
O00217,0.0,0.0,0.0,2
O00221,0.0,0.0,0.0,5
O00231,0.0,0.0,0.0,7
O00232,0.0,0.0,0.0,9
O00237,0.0,0.0,0.0,2
O00238,0.0,0.0,0.0,2
O00241,0.0,0.0,0.0,3
O00257,0.0,0.0,0.0,3
O00264,0.0,0.0,0.0,1
O00267,0.0,0.0,0.0,8
O00268,0.0,0.0,0.0,4
O00273,0.0,0.0,0.0,2
O00291,0.0,0.0,0.0,12
O00299,0.0,0.0,0.0,6
O00303,0.0,0.0,0.14285714285714285,7
O00305,0.0,0.0,0.0,3
O00308,0.0,0.0,0.0,5
O00311,0.0,0.0,0.0,4
O00329,0.0,0.0,0.0,12
O00339,0.0,0.0,0.0,8
O00391,0.0,0.0,0.0,8
O00400,0.0,0.0,0.0,4
O00401,0.0,0.0,0.0,3
O00408,0.0,0.0,0.0,12
O00410,0.0,0.0,0.0625,16
O00411,0.0,0.0,0.0,9
O00418,0.0,0.0,0.0,5
O00423,0.0,0.0,0.0,4
O00425,0.0,0.0,0.0,3
O00429,0.0,0.0,0.0,8
O00442,0.0,0.0,0.0,1
O00443,0.0,0.0,0.0,6
O00444,0.0,0.0,0.0,1
O00458,0.0,0.0,0.0,2
O00462,0.0,0.0,0.0,5
O00463,0.0,0.0,0.0,2
O00468,0.0,0.0,0.0,8
O00469,0.0,0.0,0.0,8
O00471,0.0,0.0,0.0,8
O00472,0.0,0.0,0.0,6
O00478,0.0,0.0,0.0,9
O00483,0.0,0.0,0.0,2
O00487,0.0,0.0,0.0,4
O00499,0.0,0.0,0.0,4
O00501,0.0,0.0,0.0,3
O00505,0.0,0.0,0.0,4
O00506,0.0,0.0,0.0,1
O00507,0.0,0.0,0.0,20
O00519,0.0,0.0,0.0,6
O00522,0.0,0.0,0.0,4
O00534,0.0,0.0,0.0,3
O00541,0.0,0.0,0.0,4
O00555,0.0,0.0,0.0,14
O00560,0.0,0.0,0.5,2
O00562,0.0,0.0,0.0,7
O00566,0.0,0.0,0.0,8
O00567,0.0,0.0,0.0,3
O00571,0.0,0.0,0.0,7
O00622,0.0,0.0,0.0,1
O00626,0.0,0.0,0.0,1
O00629,0.0,0.0,0.0,2
O00635,0.0,0.0,0.0,4
O00712,0.0,0.0,0.0,2
O00716,0.0,0.0,0.0,4
O00743,0.0,0.0,0.0,5
O00748,0.0,0.0,0.0,6
O00750,0.0,0.0,0.0,13
O00754,0.0,0.0,0.0,9
O00762,0.0,0.0,0.0,1
O00763,0.0,0.0,0.0,20
O00764,0.0,0.0,0.0,4
O00767,0.0,0.0,0.0,4
O14493,0.0,0.0,0.0,3
O14497,0.0,0.0,0.0,9
O14503,0.0,0.0,0.0,3
O14508,0.0,0.0,0.3333333333333333,3
O14511,0.0,0.0,0.0,1
O14512,0.0,0.0,0.0,2
O14513,0.0,0.0,0.0,7
O14514,0.0,0.0,0.0,9
O14519,0.0,0.0,0.0,1
O14520,0.0,0.0,0.0,3
O14521,0.0,0.0,0.0,3
O14522,0.0,0.0,0.0,9
O14524,0.0,0.0,0.0,3
O14525,0.0,0.0,0.0,5
O14526,0.0,0.0,0.0,3
O14530,0.0,0.0,0.0,3
O14544,0.0,0.0,0.0,2
O14545,0.0,0.0,0.0,4
O14548,0.0,0.0,0.0,1
O14556,0.0,0.0,0.0,4
O14559,0.0,0.0,0.0,2
O14561,0.0,0.0,0.0,1
O14569,0.0,0.0,0.0,1
O14578,0.0,0.0,0.0,22
O14579,0.0,0.0,0.0,2
O14607,0.0,0.0,0.0,4
O14617,0.0,0.0,0.0,16
O14618,0.0,0.0,0.0,3
O14641,0.0,0.0,0.0,3
O14646,0.0,0.0,0.0,5
O14647,0.0,0.0,0.0,11
O14649,0.0,0.0,0.0,3
O14653,0.0,0.0,0.0,2
O14654,0.0,0.0,0.0,2
O14656,0.0,0.0,0.0,3
O14657,0.0,0.0,0.0,4
O14662,0.0,0.0,0.0,3
O14672,0.0,0.0,0.0,4
O14678,0.0,0.0,0.0,6
O14681,0.0,0.0,0.0,3
O14682,0.0,0.0,0.0,6
O14683,0.0,0.0,0.0,2
O14684,0.0,0.0,0.5,2
O14686,1.0,1.0,1.0,22
O14709,0.0,0.0,0.0,2
O14715,0.0,0.0,0.0,13
O14717,0.0,0.0,0.0,1
O14727,0.0,0.0,0.0,5
O14730,0.0,0.0,0.0,4
O14733,0.0,0.0,0.0,6
O14735,0.0,0.0,0.0,3
O14737,0.0,0.0,0.0,1
O14744,0.0,0.0,0.0,6
O14745,0.0,0.0,0.0,2
O14746,0.0,0.0,0.0,8
O14753,0.0,0.0,0.5,2
O14756,0.0,0.0,0.0,2
O14757,0.0,0.0,0.0,3
O14763,0.0,0.0,0.0,5
O14772,0.0,0.0,0.0,2
O14773,0.0,0.0,0.0,4
O14775,0.0,0.0,0.0,2
O14776,0.0,0.0,0.0,4
O14777,0.0,0.0,0.0,10
O14782,0.0,0.0,0.0,4
O14786,0.0,0.0,0.0,4
O14787,0.0,0.0,0.0,13
O14791,0.0,0.0,0.0,8
O14795,0.0,0.0,0.0,12
O14802,0.0,0.0,0.0,15
O14817,0.0,0.0,0.0,3
O14818,0.0,0.0,0.0,1
O14829,0.0,0.0,0.0,4
O14832,0.0,0.0,0.0,3
O14836,0.0,0.0,0.0,1
O14841,0.0,0.0,0.0,8
O14863,0.0,0.0,0.0,3
O14879,0.0,0.0,0.0,4
O14880,0.0,0.0,0.0,1
O14896,0.0,0.0,0.0,3
O14908,0.0,0.0,0.0,3
O14917,0.0,0.0,0.0,10
O14920,0.0,0.0,0.0,7
O14924,0.0,0.0,0.0,4
O14926,0.0,0.0,0.0,2
O14929,0.0,0.0,0.0,4
O14931,0.0,0.0,0.0,1
O14936,0.0,0.0,0.0,9
O14939,0.0,0.0,0.0,9
O14944,0.0,0.0,0.0,1
O14950,0.0,0.0,0.0,1
O14957,0.0,0.0,0.0,1
O14964,0.0,0.0,0.0,4
O14965,0.0,0.0,0.0,2
O14972,0.0,0.0,0.0,4
O14974,0.0,0.0,0.0,5
O14975,0.0,0.0,0.0,3
O14976,0.0,0.0,0.0,6
O14977,0.0,0.0,0.0,9
O14979,0.0,0.0,0.0,4
O14980,0.0,0.0,0.0,16
O14981,0.0,0.0,0.0,19
O14983,0.0,0.0,0.0,17
O14986,0.0,0.0,0.0,6
O15013,0.0,0.0,0.0,4
O15014,0.0,0.0,0.0,4
O15015,0.0,0.0,0.0,4
O15016,0.0,0.0,0.14285714285714285,7
O15018,1.0,1.0,1.0,9
O15020,0.0,0.0,0.0,24
O15021,0.0,0.0,0.0,3
O15027,0.0,0.0,0.0,11
O15031,0.0,0.0,0.0,16
O15033,0.0,0.0,0.0,9
O15034,0.0,0.0,0.0,3
O15040,0.0,0.0,0.0,4
O15042,0.0,0.0,0.0,9
O15047,0.0,0.0,0.0,5
O15050,1.0,1.0,1.0,17
O15054,0.0,0.0,0.0,6
O15055,0.0,0.0,0.0,8
O15056,0.0,0.0,0.0,5
O15060,0.0,0.0,0.0,7
O15061,0.0,0.0,0.0,4
O15062,0.0,0.0,0.0,4
O15063,0.0,0.0,0.0,5
O15066,0.0,0.0,0.0,4
O15067,0.0,0.0,0.0,8
O15068,0.0,0.0,0.0,7
O15069,0.0,0.0,0.0,6
O15078,0.0,0.0,0.0,19
O15079,0.0,0.0,0.0,3
O15083,0.0,0.0,0.0,8
O15084,0.0,0.0,0.0,4
O15085,0.0,0.0,0.0,3
O15091,0.0,0.0,0.0,4
O15111,0.0,0.0,0.0,12
O15118,0.0,0.0,0.0,8
O15119,0.0,0.0,0.0,6
O15121,0.0,0.0,0.0,4
O15126,0.0,0.0,0.0,1
O15127,0.0,0.0,0.0,6
O15131,0.0,0.0,0.0,7
O15143,0.0,0.0,0.0,2
O15144,0.0,0.0,0.0,4
O15145,0.0,0.0,0.0,4
O15156,0.0,0.0,0.0,2
O15160,0.0,0.0,0.0,5
O15162,0.0,0.0,0.0,1
O15164,0.0,0.0,0.0,10
O15169,0.0,0.0,0.0,3
O15173,0.0,0.0,0.0,1
O15211,0.0,0.0,0.0,6
O15212,0.0,0.0,0.0,3
O15213,0.0,0.0,0.0,4
O15217,0.0,0.0,0.0,6
O15218,0.0,0.0,0.0,3
O15226,0.0,0.0,0.0,5
O15228,0.0,0.0,0.0,7
O15229,0.0,0.0,0.0,4
O15230,1.0,1.0,1.0,21
O15235,0.0,0.0,0.0,3
O15239,0.0,0.0,0.0,1
O15240,0.0,0.0,0.0,4
O15244,0.0,0.0,0.0,3
O15254,0.0,0.0,0.0,5
O15258,0.0,0.0,0.0,2
O15259,0.0,0.0,0.0,2
O15260,0.0,0.0,0.0,1
O15266,0.0,0.0,0.0,3
O15269,0.0,0.0,0.0,3
O15270,0.0,0.0,0.0,6
O15287,0.0,0.0,0.0,6
O15294,0.0,0.0,0.0,13
O15297,0.0,0.0,0.0,4
O15321,0.0,0.0,0.0,3
O15327,0.0,0.0,0.0,4
O15344,0.0,0.0,0.0,2
O15355,0.0,0.0,0.0,2
O15357,0.0,0.0,0.0,10
O15360,0.0,0.0,0.0,19
O15371,0.0,0.0,0.0,2
O15372,0.0,0.0,0.0,6
O15379,0.0,0.0,0.0,4
O15381,0.0,0.0,0.0,5
O15382,0.0,0.0,0.0,3
O15391,0.0,0.0,0.0,1
O15394,0.0,0.0,0.0,6
O15397,0.0,0.0,0.0,13
O15399,0.0,0.0,0.0,5
O15403,0.0,0.0,0.0,1
O15409,0.0,0.0,0.0,4
O15417,1.0,1.0,1.0,8
O15427,0.0,0.0,0.0,4
O15432,0.0,0.0,0.0,3
O15438,0.0,0.0,0.0,11
O15439,0.0,0.0,0.0,21
O15440,0.0,0.0,0.0,13
O15442,0.0,0.0,0.0,3
O15460,0.0,0.0,0.0,2
O15479,0.0,0.0,0.0,2
O15481,0.0,0.0,0.0,1
O15482,0.0,0.0,0.0,5
O15488,0.0,0.0,0.0,4
O15498,0.0,0.0,0.0,2
O15499,0.0,0.0,0.0,1
O15503,0.0,0.0,0.0,2
O15504,0.0,0.0,0.0,2
